W28-33-Q #,Primary Q,Secondary Q,Secondary Q of,Variable,Question Category
49,0,1,Q8,CHLDCARE,Childcare
38d,0,1,Q8 > 0,PRVNTIVE,Childcare
38e,0,1,Q38d = 1,PRVNTWHY1,Childcare
38e,0,1,Q38d = 1,PRVNTWHY2,Childcare
38e,0,1,Q38d = 1,PRVNTWHY3,Childcare
38e,0,1,Q38d = 1,PRVNTWHY4,Childcare
38e,0,1,Q38d = 1,PRVNTWHY5,Childcare
38e,0,1,Q38d = 1,PRVNTWHY6,Childcare
38e,0,1,Q38d = 1,PRVNTWHY7,Childcare
49b,0,1,Q49 = 1,CHLDIMPCT1,Childcare
49b,0,1,Q49 = 1,CHLDIMPCT2,Childcare
49b,0,1,Q49 = 1,CHLDIMPCT3,Childcare
49b,0,1,Q49 = 1,CHLDIMPCT4,Childcare
49b,0,1,Q49 = 1,CHLDIMPCT5,Childcare
49b,0,1,Q49 = 1,CHLDIMPCT6,Childcare
49b,0,1,Q49 = 1,CHLDIMPCT7,Childcare
49b,0,1,Q49 = 1,CHLDIMPCT8,Childcare
49b,0,1,Q49 = 1,CHLDIMPCT9,Childcare
QTH2,0,1,Q8 > 0,TELECHLD,Childcare
21aa,1,0,,FEWRTRIP1,"COVID-19 prevention behaviors (daily activities, transportation)"
21aa,1,0,,FEWRTRIP2,"COVID-19 prevention behaviors (daily activities, transportation)"
21aa,1,0,,FEWRTRIP3,"COVID-19 prevention behaviors (daily activities, transportation)"
21b,1,0,,PRVRIDESHR,"COVID-19 prevention behaviors (daily activities, transportation)"
21bb,0,1,Q21b = 1,FEWRTRANS,"COVID-19 prevention behaviors (daily activities, transportation)"
21c,1,0,,PLNDTRIPS,"COVID-19 prevention behaviors (daily activities, transportation)"
QV5a,1,0,,COVPRVNT,"COVID-19 prevention behaviors (daily activities, transportation)"
1,1,0,,TBIRTH_YEAR,Demographic
2,1,0,,EGENDER,Demographic
5,1,0,,EEDUC,Demographic
6,1,0,,MS,Demographic
7,1,0,,THHLD_NUMPER,Demographic
8,1,0,,THHLD_NUMKID,Demographic
50,1,0,,INCOME,Demographic
-,1,0,,EST_ST,Demographic
-,1,0,,EST_MSA,Demographic
-,1,0,,REGION,Demographic
-,1,0,,WEEK,Demographic
Q8a,1,0,,ACTVDUTY1,Demographic
Q8a,1,0,,ACTVDUTY2,Demographic
Q8a,1,0,,ACTVDUTY3,Demographic
Q8a,1,0,,ACTVDUTY4,Demographic
Q8a,1,0,,ACTVDUTY5,Demographic
Recode of 3,1,0,,RHISPANIC,Demographic
Recode of 4,1,0,,RRACE,Demographic
Recode of 7 and 8,1,0,,THHLD_NUMADLT,Demographic
44,0,1,Q42a,COMPAVAIL,Education Disruptions
46,0,1,Q42a,INTRNTAVAIL,Education Disruptions
47,0,1,"Q42a, Q46",INTRNTRV1,Education Disruptions
47,0,1,"Q42a, Q46",INTRNTRV2,Education Disruptions
47,0,1,"Q42a, Q46",INTRNTRV3,Education Disruptions
47,0,1,"Q42a, Q46",INTRNTRV4,Education Disruptions
42a,0,1,Q8 > 0,TENROLLPUB,Education Disruptions
42a,0,1,Q8 > 0,TENROLLPRV,Education Disruptions
42a,0,1,Q8 > 0,TENROLLHMSCH,Education Disruptions
42a,0,1,Q8 > 0,ENROLLNONE,Education Disruptions
