W22-27-Q #,Primary Q,Secondary Q,Secondary Q of,Variable,Question Category
21a,1,0,,FEWRTRIPS,"COVID-19 prevention behaviors (daily activities, transportation)"
21b,1,0,,FEWRTRANS,"COVID-19 prevention behaviors (daily activities, transportation)"
21c,1,0,,PLNDTRIPS,"COVID-19 prevention behaviors (daily activities, transportation)"
1,1,0,,TBIRTH_YEAR,Demographic
2,1,0,,EGENDER,Demographic
5,1,0,,EEDUC,Demographic
6,1,0,,MS,Demographic
7,1,0,,THHLD_NUMPER,Demographic
8,1,0,,THHLD_NUMKID,Demographic
50,1,0,,INCOME,Demographic
-,1,0,,EST_ST,Demographic
-,1,0,,EST_MSA,Demographic
-,1,0,,REGION,Demographic
-,1,0,,WEEK,Demographic
Recode of 3,1,0,,RHISPANIC,Demographic
Recode of 4,1,0,,RRACE,Demographic
Recode of 7 and 8,1,0,,THHLD_NUMADLT,Demographic
42,0,1,Q8,ENROLL1,Education Disruptions
42,0,1,Q8,ENROLL2,Education Disruptions
42,0,1,Q8,ENROLL3,Education Disruptions
43,0,1,Q42,TEACH1,Education Disruptions
43,0,1,Q42,TEACH2,Education Disruptions
43,0,1,Q42,TEACH3,Education Disruptions
43,0,1,Q42,TEACH4,Education Disruptions
43,0,1,Q42,TEACH5,Education Disruptions
44,0,1,Q42,COMPAVAIL,Education Disruptions
45,0,1,"Q42, Q44",COMP1,Education Disruptions
45,0,1,"Q42, Q44",COMP2,Education Disruptions
45,0,1,"Q42, Q44",COMP3,Education Disruptions
46,0,1,Q42,INTRNTAVAIL,Education Disruptions
47,0,1,"Q42, Q46",INTRNT1,Education Disruptions
47,0,1,"Q42, Q46",INTRNT2,Education Disruptions
47,0,1,"Q42, Q46",INTRNT3,Education Disruptions
47a,0,1,Q42,SCHLHRS,Education Disruptions
48a,0,1,Q42,TSTDY_HRS,Education Disruptions
48b,0,1,Q42,TCH_HRS,Education Disruptions
QPS1,1,0,,TNUM_PS,Education Disruptions
QPS2,0,1,QPS1,PSPLANS1,Education Disruptions
QPS2,0,1,QPS1,PSPLANS2,Education Disruptions
QPS2,0,1,QPS1,PSPLANS3,Education Disruptions
QPS2,0,1,QPS1,PSPLANS4,Education Disruptions
QPS2,0,1,QPS1,PSPLANS5,Education Disruptions
QPS2,0,1,QPS1,PSPLANS6,Education Disruptions
QPS3,0,1,QPS1,PSCHNG1,Education Disruptions
QPS3,0,1,QPS1,PSCHNG2,Education Disruptions
QPS3,0,1,QPS1,PSCHNG3,Education Disruptions
QPS3,0,1,QPS1,PSCHNG4,Education Disruptions
QPS3,0,1,QPS1,PSCHNG5,Education Disruptions
QPS3,0,1,QPS1,PSCHNG6,Education Disruptions
QPS3,0,1,QPS1,PSCHNG7,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG1,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG2,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG3,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG4,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG5,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG6,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG7,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG8,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG9,Education Disruptions
9,1,0,,WRKLOSS,Employment
10,1,0,,EXPCTLOSS,Employment
11,1,0,,ANYWORK,Employment
12,0,1,Q11 = 1,KINDWORK,Employment
13,0,1,Q11 = 2,RSNNOWRK,Employment
